"Name_Z","Name_A","Location_A","Location_B","Photo_Film","Bunch_Pattern","Notes","Source","Year","Shots_Min","Shots_Max","Shots_Tot","Len_Min","Len_Max","Len_Tot","Time_A","B1","B2","B3","Time_Z","Bunches","Quality"
"Adams","Victoria","TSBD","Floor 4",,"?","111 or 120: First shot when limo was behind tree, followed by a pause. No direct mention of bunching, but no mention of pause between shots 2/3 either. Car speeded up after 3rd shot.","CD5, 6H388, box 3 folder 19 file 3 of the Dallas JFK Archive","1963","3","3","3",,,"0","100","1","2","0","50","1","75"
"Allen","JB","Main Street","Houston Street",,,"Shots (plural) mentioned, no number","18H601","1964",,,,,,"0","0",,,,"0","0","0"
"Allman","Pierce","Elm Street","Reflecting Pool",,"None","Shots evenly spaced, not rapid, JFK ducked after 1st.","WFAA report on day","1963","3","3","3",,,"0","100","1","1","1","50","0","75"
"Altgens","James","Lawn","Elm Street","P 2-8","None","First shot just before taking photo at Z255. Head shot was final shot. May have been more pops in between the two he heard.","AP & 7H517","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Arce","Danny","Elm Street","TSBD",,"End","1st just after car passed by. 2nd and 3rd shot close together.","24H199, CD205","1963","3","3","3",,,"0","50","1","2","0","50","1","50"
"Arnold","Carolyn","Elm Street","TSBD",,,"No shot info.","22H635","1964",,,,,,"0","0",,,,"0","0","0"
"Atkins","Thomas","Motorcade","Camera Car #1","Film","End","1st shot when car had just turned the corner. Last 2 shots within 2 seconds","Tabloid midnight & Pictures of the pain","1977","3","3","3",,,"0","50","1","2","0","50","1","50"
"Ault","Cecil","Criminal Courts","Floor 2",,"Start","210 or 021 - First 2 shots very close together, sounded like from an automatic weapon. JFK raised up after 1st, slumped after 2nd.","24H534","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Aynesworth","Hugh","Elm Street","Houston Street",,"None","2nd shot = head shot. No mention of bunching or rapid fire.","Dallas Morning News","1964","3","3","3",,,"0","100","1","1","1","100","0","100"
"Baker","Marrion","Motorcade","Forward Mid Motorcycles",,"None","Shots evenly spaced. No timespan for whole shooting sequence. First shot 60-80ft onto Houston Street, timing from Mc63.","3H245","1963","3","3","3",,,"0","100","1","1","1","50","0","75"
"Baker","Virgie","Elm Street","TSBD",,,"nee Rackley (or Rachley). Something hit the road after the first shot. No timing info.","CD5, 7H510","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Bales","Arthur W","Motorcade","Signal Corps Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Barclay","Malcolm","Main Street","Houston Street",,,"One or more shots","26H552","1964",,,,,,"0","0",,,,"0","0","0"
"Barefoot Sanders Jr","Harold","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Barnett","Welcome","Elm Street","Houston Street",,"?","Saw JFK duck after the 1st shot. No mention of rapid or bunched shots.","22H598, 7H541","1964","3","3","3",,,"0","100","1","1","1","50","0","75"
"Baskin","Robert","Motorcade","National Press Pool",,"None","No mention of bunching, seemingly well spaced shots.","Dallas Morning News","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Beckworth","Lindley","Motorcade","Congressman #2",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bell","Jack","Motorcade","National Press Pool",,"None","Shots were possibly 5 seconds apart.","AP Bulletin & AP article found in the Ada Oklahoma Evening News","1964","3","3","3","10","10","10","50","1","1","1","50","0","50"
"Bell","Mark","Peristyle","Reflecting Pool","Film","Somewhere","At least 2 of the shots were bunched.","Six Seconds In Dallas","1967","3","3","3",,,"0","0",,,,"0","0","0"
"Bell","SW","Motorcade","National Press Pool",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bellah","SQ","Motorcade","Advance Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Benevides","Robert","Houston Street","Criminal Courts",,,"No witness data. Standing with CM Jones.","19H512",,,,,,,"0","0",,,,"0","0","0"
"Bennett","Glen","Motorcade","Secret Service #1",,"End","110 or 120 or 210: Meaning of note is ambiguous, but the Altgens 6 photo indicates he was looking right after first shot and hadn't yet looked forward at Z255, so 2nd shot came after this.","Note on day","1963","2","3","2.5",,,"0","50","1.5","1.5","0","100","2","75"
"Berry","Jane","Elm Street","Grassy Knoll",,"?","120 or 111, no timing of last 2 shots given. Pause of several seconds after the first shot.","CD5","1963","3","3","3",,,"0","100","1","1.5","0.5","50","1","75"
"Betzner","Hugh","Elm Street","Reflecting Pool","P 1-3",,"At least 2 shots. First shot was after he took his photo at Z186. Second shot was at the same time as the explosion in the car.","24H200, UPI article","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Biffle","Kent","Motorcade","Local Press Pool",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bishop","Curtis","Bridge","Elm Street",,,"No details on shot timing or spacing.","22H834","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Bond","Wilma","Peristyle","Reflecting Pool","P 1-9",,"At least 3 shots.","CD735","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Boone","Eugene","Main Street","Dallas Sheriff",,,"Pauses between each of the shots. No specific times or references.","3H292","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Bothun","Richard","Lawn","Elm Street","P 1-5",,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"Bowers","Lee","Railway Tower","Railway Yard",,"End","First shot limo was behind Pergola, last shot as it emerged into view.  Map & Mc63 suggests shots all between Z250-Z430","6H288","1964","3","3","3",,,"0","100","0","1","2","100","1","100"
"Braden","Jim","Dal-Tex","Floor 3",,,"AKA Eugene Hale Brading.","19H469","1963",,,,,,"0","0",,,,"0","0","0"
"Brandon","Henry","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Brandt","Ernest","Elm Street","Grassy Knoll",,,"Late evidence, and not consistent.","St. Petersburg Times, Sixth Floor Museum, emails/letters to researchers","1993",,,,,,"0","0",,,,"0","0","0"
"Brehm","Charles","Lawn","Elm Street",,"None","1st shot JFK hit and ""stiffened"". 2nd shot = head shot. 3rd shot was fired after head shot while car was zig zagging.","22H837, NBC TV interview on the day, zig-zag detail in 1986 LWT mock trial.","1963","3","3","3",,,"0","100","1","1","1","100","0","100"
"Brehm","Joe","Lawn","Elm Street",,,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"Brennan","Howard","Elm Street","Reflecting Pool",,"None","2 shots mentioned in early reports, possibly more.","24H203, CD5, 3H143","1963","2","2","2",,,"0","100","1","1","0","50","0","75"
"Brewer","ED Buddy","Motorcade","Lead Motorcycles",,,"Didn't hear any shots.","6H302. Todd Wayne Vaughan Motorcade book","1964",,,,,,"0","0",,,,"0","0","0"
"Broder","David","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Bronson","Charles","Main Street","Houston Street","P 1-3 Film","?","210 or 120: seems to change the bunching to shots 2/3.","Letter to sister on the day.","1963","3","3","3",,,"0","100","2","1","0","50","1","75"
"Brooks","Jack","Motorcade","Congressman #2",,,"No timing info.","Comments on Air Force One","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Broseh","Jerry","Elm Street",,,,"100 or 010: President slumped after shot","Dallas Morning News","1963","1","1","1",,,"0","50","0.5","0.5","0","50","0","50"
"Brown","Earle","Railroad Bridge","Stemmons Freeway",,,"No timing info.","6H233","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Burkley","George G","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Burney","Peggy","Elm Street","Grassy Knoll",,"None","Car had just passed by 15 feet at the first shot, and JFK ducked. After the 2nd shot the car speeded up.","Dallas Times-Herald","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Burns","Doris","TSBD","Floor 3",,,"Just one shot heard, didn't see anything, wasn't paying attention to the motorcade.","22H637, 6H399","1964","1","1","1",,,"0","0",,,,"0","0","0"
"Burroughs","Henry","Motorcade","Camera Car #2",,,"No timing info.","Pictures of the pain interview","1985","4","4","4",,,"0","0",,,,"0","0","0"
"Burrows","Francine","Lawn",,,,"No timing info. Wearing a beige raincoat in the Zapruder film at the point of the head shot (seems to be the same person Toni Foster claims to be).","Case Closed, Gerald Posner","1992","3","3","3",,,"0","0",,,,"0","0","0"
"Byers","Bo","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Cabell","Earle","Motorcade","Mayor's Car",,"End","Last 2 shots bunched, within a few seconds of the 1st based on conversation.","7H478","1964","3","3","3",,,"0","100","1","2","0","50","1","75"
"Cabell","Elizabeth","Motorcade","Mayor's Car",,"End","Last 2 shots bunched, within a few seconds of the 1st based on conversation.","7H486","1964","3","3","3",,,"0","100","1","2","0","50","1","75"
"Cabluck","Harry","Motorcade","Bus #1","P 1-3",,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Cahn","Robert","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Calvery","Gloria","Elm Street","Grassy Knoll",,"?","Shots mentioned but no exact number. Heard 1st shot when car was in front of her.","22H638","1964",,,,,,"0","100","1",,,"0","0","50"
"Campbell","Ochus","Elm Street","TSBD",,,"No timing info.","22H845, CD5, 22H638","1963",,,,,,"0","0",,,,"0","0","0"
"Cancellare","Frank","Motorcade","Camera Car #2","P 1-2",,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Carpenter","Elizabeth","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Carr","Richard","Houston Street","Commerce Street",,,"Contradictory statements given, so not reliable witness.","CD395 p28-29, CD 385 p25, Clay Shaw trial.","1964","2","3","2.5",,,"0","0",,,,"0","0","0"
"Carter","Clifton","Motorcade","Secret Service #2",,"None","1st shot when beside the TSBD. 3 shots evenly spaced over 5-6 seconds","7H474","1964","3","3","3","5","6","5.5","100","1","2","0","100","1","100"
"Case","Edna","TSBD","Floor 3",,,"Did not hear any shots.","11-23-63 interview, CD5, p. 431","1963",,,,,,"0","0",,,,"0","0","0"
"Chaney","James","Motorcade","Presidential Motorcycles",,"None","Saw JFK look to the left after 1st shot.  2nd shot hit him in the face.","KLIF interview","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Chism","Faye","Elm Street","Grassy Knoll",,"None","JFK fell to left after the 1st shot.","19H472","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Chism","John","Elm Street","Grassy Knoll",,"None","First shot when JFK was in front of him. Second shot came just after Greer and Kellerman look back (but no mention of seeing the head shot, so could be Z280)","19H471, 24H525","1963","2","3","2.5",,,"0","100","1","1.5","0.5","50","1","75"
"Clark","Bob","Motorcade","National Press Pool",,,"No timing info.","ABC News","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Clark","Rose","Criminal Courts","Floor 2",,"?","Car almost stopped after 3 shots","24H533","1964","3","3","3",,,"0","100","1","2","0","100","1","100"
"Clay","Billie","Elm Street","TSBD",,"?","120 or 111: 1st shot fired just after the car had passed. No other timing info.","22H641","1964","3","3","3",,,"0","100","1","1.5","0.5","50","1","75"
"Clifton","Chester","Motorcade","VIP Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Connally","John","Motorcade","Presidential Limo",,"Start","210 or 110: Heard 1st shot before he felt pain. 2nd shot he heard was JFK's head shot.","4H134, Interview with Martin Agronsky 1963-11-27","1963","3","3","3","10","12","11","100","2","1","0","100","1","100"
"Connally","Nellie","Motorcade","Presidential Limo",,"Start","1st shot hit JFK, 2nd JBC, 3rd JFK head. Less time between 1/2 than 2/3.","Hand written note reprinted in her book From Love Field, 2003. 4H149","1963","3","3","3",,,"0","100","1.5","1.5","0","100","2","100"
"Cormier","Frank","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Costello","William","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Couch","Malcolm","Motorcade","Camera Car #3","Film","None","1st to last was 10 secs, with 2nd in middle 4-5 secs after 1st. Position of car in Mc63 locates bursts.","CD5 & 6H157","1964","3","3","3","10","10","10","100","1","1","1","100","0","100"
"Courson","JW","Motorcade","Mid Motorcycles",,"?","012 or 021: he heard three shots about a second apart as he turned onto Houston Street. Timing from Mc63.  Somewhat late and inconsistent statements so not 100% reliable.","HSCA","1977","3","3","3","2","2","2","50","0","1.5","1.5","50","2","50"
"Cowsert","Ewell","Bridge","Elm Street",,"?","Somewhat vague, but 1st shot when limo near TSBD.","22H836","1964","2","3","2.5",,,"0","100","1","1","0","50","0","75"
"Craig","Roger","Main Street","Dallas Sheriff",,"End","120 or 012: Pause between 1&2, rapid 2&3 <=2 secs","6H263","1964","3","3","3",,,"0","50","0.5","1.5","0.5","50","1","50"
"Craven","Thomas","Motorcade","Camera Car #1",,,"No timing info.","Pictures of the pain interview","1985","3","3","3",,,"0","0",,,,"0","0","0"
"Crawford","James","Elm Street","Houston Street",,"End","1st shot fired just as VP SS follow up car turned the corner to Elm Street. Longer pause between 1/2 than 2/3.","6H173","1964","3","3","3",,,"0","100","1","2","0","50","1","75"
"Croft","Robert","Elm Street","Lawn","P 1-3",,"Took a photo at the time of the fatal shot. No other info.","FBI","1963",,,,,,"0","0",,,,"0","0","0"
"Cromley","Allan","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Curry","Jesse","Motorcade","DPD Lead Car",,"End","5-6 seconds time for all shots. Limo was halfway down Elm Street when 1st shot was fired.","4H150","1964","3","3","3","5","6","5.5","50","0","1","2","50","1","50"
"Dale","Bobby Joe","Motorcade","Rear Mid Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Daniel","Jack","Elm Street","Stemmons Freeway","Film",,"No witness data.",,,,,,,,"0","0",,,,"0","0","0"
"Darnell","James","Motorcade","Camera Car #3","Film",,"No timing info.","CD7","1963","2","2","2",,,"0","0",,,,"0","0","0"
"Davenport","LS","Motorcade","DPD Rear Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Davis","Avery","TSBD","Steps",,,"Shots fired just after car passed. No timing info.","22H642","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Davis","George","Bridge","Elm Street",,,"Heard shots (plural), no number given","22H837","1963",,,,,,"0","0",,,,"0","0","0"
"Davis","Sid","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Dean","Ruth","TSBD","Steps",,,"No timing info.","22H839, 22H643","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Decker","Bill","Motorcade","DPD Lead Car",,,"First shot just before spray of water from limo","19H458","1963","2","2","2",,,"0","100","0","1","1","100","0","100"
"Denham","WH","Main Street","Houston Street",,,"Only mentions hearing the first shot. No other info.","22H599","1964",,,,,,"0","0",,,,"0","0","0"
"Dickerson","Mary","Elm Street","TSBD",,,"No shot numbers mentioned.","22H644","1964",,,,,,"0","0",,,,"0","0","0"
"Dillard","Tom","Motorcade","Camera Car #3","P 1-3","None","Shots equally spaced. Timings based on Mc63 and witness car positions. Car stopped on corner just after 3rd shot.","6H164","1964","3","3","3",,,"0","100","1","1","1","100","0","100"
"Dishong","June","Elm Street","Grassy Knoll",,"None","Probably 3 shots, but mentions ""shots"" for initial shot. Letter states: 1st shot JFK fell into wifes lap. 2nd shot was head shot as people panicked.","Letter written on day","1963","3","3","3",,,"0","100","1","1","1","100","0","100"
"Dodd","Richard","Bridge","Elm Street",,,"Heard shots (plural), no number given. JFK slumped as shooting started.","22H835","1964",,,,,,"0","0",,,,"0","0","0"
"Dolan","John","Commerce Street","Bridge",,,"No timing info.","CD205","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Donaldson Atterberry","Ann","Elm Street","Grassy Knoll",,"None","JFK reacted to the 1st shot, and then chaos after the 2nd - after which JFK ""fell"".","Washington Evening Star on the day","1963","2","2","2",,,"0","100","1","1","0","100","0","100"
"Donovan","Robert","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Dorman","Elsie","TSBD","Floor 4","Film",,"Heard shots, but no info.","CD5, 22H644","1963",,,,,,"0","0",,,,"0","0","0"
"Dougherty","Jack","TSBD","Floor 4",,,"Heard a single shot, but no timing info.","24H206, 19H619, 6H379","1963","1","1","1",,,"0","0",,,,"0","0","0"
"Downey","William","Main Street","Houston Street",,,"One or more explosions","26H551","1964",,,,,,"0","0",,,,"0","0","0"
"Doyle","Jack","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Dragoo","Betty","Elm Street","TSBD",,,"No shot info.","22H645","1964",,,,,,"0","0",,,,"0","0","0"
"Dudman","Richard","Motorcade","Bus #1",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Dugger","Ronnie","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Eaves","Richard","Peristyle","Reflecting Pool",,"?","""I honestly donâ€™t know how many shots I heard, but it seemed more than three.""","https://www.thegirlwhoshotjfk.com/","2020",,,,,,"0","0",,,,"0","0","0"
"Edwards","Robert","Elm Street","Reflecting Pool",,,"Rapid fire, no timing info.","24H207, CD205, 6H205","1963","4","4","4",,,"0","0",,,,"0","0","0"
"Elerson","Sandra Sue","TSBD","Floor 3",,,"Heard no shots.","11-24-63 interview, CD5, p. 433","1963",,,,,,"0","0",,,,"0","0","0"
"Elkins","Harold","Main Street","Dallas Sheriff",,"?","Mentions 2 seconds between first or second shot, but is otherwise too vague to determine timings or locations.","19H540","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Ellis","Stavis","Motorcade","Lead Motorcycles",,,"Claims to have witnessed shooting but I am doubtful as he appears too far away in the frames of the Bell film.","HSCA","1978","3","3","3",,,"0","0",,,,"0","0","0"
"Euins","Amos","Elm Street","Reflecting Pool",,,"No detailed info on timing, spacing, or bunching. Later says he heard 4 shots.","24H207","1963","3","3","3",,,"0","100","1","1","1","50","0","75"
"Farmer","Hank","Elm Street","Grassy Knoll",,,"No shot numbers mentioned","CD205 p.34","1963",,,,,,"0","0",,,,"0","0","0"
"Faulkner","Jack","Main Street","Houston Street",,,"No timing info.","19H511","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Fauver","Edward","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Felmer","Marie","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Fischer","Ronald","Elm Street","Reflecting Pool",,"None","People scattered on the 2nd shot. Mentioned a possible 4th shot. Evenly spaced, 3-4 secs between each shot.","19H475, CD205, 6H195","1963","3","3","3","6","8","7","100","1","1","1","100","0","100"
"Flaherty","Thomas","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Folliard","Edward","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Ford","Terrance","Elm Street","Reflecting Pool",,,"No timing info.","CD 354 p4-6","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Foster","Betty","TSBD","Floor 4",,,"No shot info.","22H647","1964",,,,,,"0","0",,,,"0","0","0"
"Foster","JW","Bridge","Elm Street",,"None","2nd shot = head shot, with another ""immediately"" after. Later qualified this by saying he had time to move from one part of the bridge to the other before the 3rd shot.","CD897, 6H251","1964","3","3","3",,,"0","100","1","1","1","100","0","100"
"Foster","Toni","Lawn",,,"All","First 2 shots on top of each other. 3rd shot and JFK's head went down (well after Z230), 4th shot was the explosion. No timing between 3&4.","Interview with Debra Conway","1998","4","4","4",,,"0","50","2","2","0","50","2","50"
"Fox","BJ","Main Street","Houston Street",,,"No witness data.","20H493","1964",,,,,,"0","0",,,,"0","0","0"
"Franzen","Jack","Lawn","Elm Street",,,"Seems to associate the first shot with the head shot, with the remaining shots following after. No timing info.","22H840","1963","3","4","3.5",,,"0","100","0","1","2","100","1","100"
"Franzen","Jeff","Lawn","Elm Street",,,"2nd and final shot was the head shot.","BBC interview","1999","2","2","2",,,"0","50","1","1","0","50","0","50"
"Franzen","Mrs","Lawn","Elm Street",,,"Seems to associate the first shot with the head shot, with the remaining shots following after. No timing info.","24H524","1963","3","3","3",,,"0","100","0","1","2","100","1","100"
"Frazier","Wesley","TSBD","Steps",,,"No timings in early statements, but later said shots 2/3 closer than 1/2.","24H209, 2H234","1963","3","3","3",,,"0","50","1","1.5","0.5","50","1","50"
"Freeman","Harold B","Motorcade","Lead Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Gaddy","ER","Criminal Courts",,,,"No timing info.","CD 385 p13","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Gallagher","Mary","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Garner","Dorothy","TSBD","Floor 4",,,"No timing info.","22H648","1964","3","3","3",,,"0","0",,,,"0","0","0"
"Garrick","JB","Motorcade","Advance Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Gearhart","Ira","Motorcade","Signal Corps Car",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Gertz","Jack","Motorcade","Bus #?",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Givens","Charles","Elm Street","Mullendone's Cafeteria",,,"No timing info.","24H210","1963","3","3","3",,,"0","0",,,,"0","0","0"
"Glover","Toni","Elm Street","Reflecting Pool",,,"No detail or timing info.","Internet post on Youtube","2012","2","3","2.5",,,"0","0",,,,"0","0","0"
"Glynn","Paul","Motorcade","Bus #3",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Gonzalez","Henry","Motorcade","Congressman #3",,,"No timing info.","Introduction to Coup D'etat in America","1975","3","3","3",,,"0","0",,,,"0","0","0"
"Grant","Clint","Motorcade","Camera Car #2","P 1","End","Car had just turned onto Houston Street. 1st shot followed by pause, then last 2 shots in rapid succession","Memo to Dallas Morning News","1964","3","3","3",,,"0","50","1","2","0","50","1","50"
"Greer","William","Motorcade","Presidential Limo",,"End","2nd shot 3-4 secs after 1st. Glanced over shoulder after 2nd shot (Z286) and 3rd shot came immediately after he turned back for 2nd time (Z300-Z305)","2H117","1964","3","3","3","5","6","5.5","100","1","2","0","100","1","100"
"Grey","Leon E","Motorcade","Lead Motorcycles",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Grove","Larry","Motorcade","Local Press Pool",,,"No witness data.","Todd Wayne Vaughan Motorcade book",,,,,,,"0","0",,,,"0","0","0"
"Haas","RE Buster","Main Street","Houston Street",,,"No timing info. 3 shots prior to the siren starting.","Dallas Morning News http://the-puzzle-palace.com/files/220068_busterhaas.html","1963","3","3","3",,,"0","0",,,,"0","0","0"
